word,JJ-0,NN-0
one,0,1
also,0,0
said,0,0
all,0,0
new,1,0
two,0,0
time,0,1
many,0,0
like,0,0
people,0,0
used,1,0
may,0,0
years,0,0
oh,0,0
will,0,0
world,0,1
well,0,1
see,0,0
now,0,0
okay,0,0
states,0,0
year,0,1
state,0,1
use,0,0
right,1,0
called,0,0
go,0,0
made,0,0
government,0,1
city,0,1
war,0,1
known,1,0
however,0,0
united,1,0
later,1,0
get,0,0
just,0,0
since,0,0
work,0,1
part,0,1
including,0,0
early,1,0
want,0,0
number,0,1
century,0,1
system,0,1
put,0,0
yeah,0,0
make,0,0
high,1,0
became,0,0
good,1,0
school,0,1
national,1,0
much,0,0
another,0,0
back,0,1
american,1,1
around,0,0
even,1,0
found,0,0
know,0,0
often,0,0
little,1,0
several,0,0
day,0,1
group,0,1
country,0,1
life,0,1
think,0,0
water,0,1
let,0,0
way,0,1
name,0,1
still,0,0
look,0,0
long,1,0
based,0,0
different,1,0
come,0,0
take,0,0
although,0,0
south,0,0
say,0,0
according,0,0
million,0,0
last,1,0
president,0,1
university,0,1
example,0,1
large,1,0
north,0,0
old,1,0
end,0,1
book,0,1
history,0,1
form,0,1
set,0,1
home,0,1
among,0,0
include,0,0
public,1,0
began,0,0
law,0,1
film,0,1
general,1,1
major,1,0
using,0,0
following,1,0
play,0,1
going,0,0
power,0,1
party,0,1
house,0,1
us,0,0
area,0,1
children,0,0
population,0,1
international,1,0
small,1,0
within,0,0
british,0,0
great,1,0
game,0,1
language,0,1
music,0,1
series,0,1
military,1,0
due,0,0
family,0,1
modern,1,0
common,1,0
students,0,0
though,0,0
big,1,0
political,1,0
help,0,0
important,1,0
place,0,1
led,0,0
period,0,1
took,0,0
english,1,0
show,0,1
got,0,0
team,0,1
death,0,1
without,0,0
john,0,0
left,1,0
air,0,0
king,0,1
less,0,0
times,0,0
west,1,0
members,0,0
countries,0,0
company,0,1
white,1,0
support,0,1
french,1,0
women,0,0
term,0,1
order,0,1
church,0,1
become,0,0
human,1,1
need,0,0
non,0,0
along,0,0
black,1,0
late,1,0
development,0,1
point,0,1
german,1,0
study,0,1
came,0,0
control,0,1
east,1,0
every,0,0
man,0,1
given,0,0
food,0,1
others,0,0
considered,0,0
next,1,0
says,0,0
european,1,0
local,1,0
army,0,1
must,0,0
line,0,1
published,1,0
research,0,1
men,0,0
service,0,1
space,0,1
age,0,1
usually,0,0
court,0,1
popular,1,0
force,0,1
central,1,0
case,0,1
held,0,0
wrote,0,0
main,0,0
change,0,1
today,0,0
best,1,0
island,0,1
largest,0,0
making,0,0
single,1,0
europe,0,1
similar,1,0
developed,1,0
released,1,0
free,1,0
away,0,0
groups,0,0
included,1,0
sometimes,0,0
york,0,0
land,0,1
program,0,1
social,1,0
various,0,0
money,0,1
percent,0,0
works,0,0
give,0,0
might,0,0
union,0,1
ii,0,0
never,0,0
red,1,0
games,0,0
western,1,0
open,1,0
light,0,1
former,1,0
yes,0,0
systems,0,0
wanna,0,0
areas,0,0
together,0,0
head,0,1
per,0,0
region,0,1
something,0,0
better,1,0
production,0,1
field,0,1
went,0,0
days,0,0
near,1,0
half,0,0
named,0,0
result,0,1
forces,0,0
find,0,0
process,0,1
roman,1,0
sea,0,1
china,0,1
body,0,1
original,1,0
science,0,1
theory,0,1
education,0,1
economic,1,0
low,1,0
top,1,0
thus,0,0
role,0,1
march,0,1
season,0,1
established,0,0
energy,0,1
river,0,1
health,0,1
thought,0,1
written,1,0
young,1,0
information,0,1
seen,0,0
instead,0,0
either,0,0
species,0,1
rather,0,0
data,0,1
side,0,1
word,0,1
created,0,0
almost,0,0
center,0,1
produced,0,0
built,0,0
god,0,1
rights,0,0
things,0,0
live,0,0
earth,0,1
june,0,0
far,1,0
level,0,1
full,1,0
schools,0,0
act,0,1
january,0,0
america,0,1
possible,1,0
across,0,0
mommy,0,0
least,0,0
especially,0,0
college,0,1
br,0,0
total,1,0
described,0,0
father,0,1
germany,0,1
hand,0,1
natural,1,0
december,0,0
october,0,0
september,0,0
july,0,0
story,0,1
really,0,0
art,0,1
played,0,0
received,0,0
working,1,0
middle,1,0
means,0,0
car,0,1
able,0,0
died,0,0
council,0,1
special,1,0
short,1,0
huh,0,0
france,0,1
present,1,0
won,0,0
turn,0,1
higher,0,0
class,0,1
generally,0,0
real,1,0
empire,0,1
run,0,0
started,0,0
community,0,1
april,0,0
outside,0,0
baby,0,1
person,0,1
type,0,1
building,0,1
continued,0,0
eat,0,0
november,0,0
california,0,0
standard,1,0
parts,0,0
northern,1,0
office,0,1
enough,0,0
soviet,1,0
son,0,1
police,0,1
chinese,1,0
languages,0,0
foreign,1,0
close,1,0
movement,0,1
member,0,1
band,0,1
england,0,1
trade,0,1
southern,1,0
lost,1,0
park,0,1
version,0,1
already,0,0
august,0,0
scientists,0,0
read,0,0
night,0,1
throughout,0,0
kingdom,0,1
saw,0,0
range,0,1
society,0,1
addition,0,1
done,0,0
civil,1,0
numbers,0,0
league,0,1
religious,1,0
animals,0,0
design,0,1
months,0,0
aha,0,0
born,0,0
business,0,1
gave,0,0
federal,1,0
television,0,1
culture,0,1
project,0,1
problem,0,1
whose,0,0
lower,1,0
mother,0,1
tell,0,0
taken,0,0
significant,1,0
official,1,0
computer,0,1
position,0,1
available,1,0
william,0,0
whether,0,0
final,1,0
current,1,0
certain,1,0
traditional,1,0
record,0,1
rate,0,1
idea,0,0
upon,0,0
color,0,1
eastern,1,0
battle,0,1
yet,0,0
technology,0,1
washington,0,0
evidence,0,1
allowed,0,0
greek,1,0
terms,0,0
blue,1,0
despite,0,0
always,0,0
daddy,0,1
africa,0,1
living,1,0
hard,1,0
election,0,1
keep,0,0
london,0,1
industry,0,1
followed,0,0
formed,0,0
words,0,0
recent,1,0
cause,0,1
style,0,1
added,1,0
effect,0,1
cities,0,0
events,0,0
model,0,1
problems,0,0
kind,1,0
india,0,1
ancient,1,0
strong,1,0
february,0,0
related,1,0
minister,0,1
introduced,0,0
islands,0,0
star,0,1
st,0,0
ball,0,1
lead,0,0
services,0,0
market,0,1
companies,0,0
african,1,0
radio,0,1
else,0,0
soon,0,0
players,0,0
love,0,1
announced,0,0
christian,0,1
particularly,0,0
town,0,1
ever,0,0
books,0,0
forms,0,0
moved,1,0
average,1,0
cases,0,0
rule,0,1
increased,0,0
changes,0,0
eventually,0,0
move,0,0
particular,1,0
sent,0,0
rock,0,1
album,0,1
green,1,0
influence,0,1
function,0,1
provide,0,0
network,0,1
fire,0,1
policy,0,1
republic,0,1
boy,0,1
likely,1,0
brought,0,0
size,0,1
studies,0,0
workers,0,0
lot,0,0
nearly,0,0
makes,0,0
source,0,1
killed,0,0
capital,0,1
mass,0,1
future,0,1
required,1,0
nations,0,0
past,1,0
self,0,0
value,0,1
nature,0,1
spanish,1,0
media,0,1
action,0,1
character,0,1
writing,0,1
earlier,0,0
elements,0,0
beginning,0,1
increase,0,1
start,0,0
located,0,0
economy,0,1
week,0,1
told,0,0
structure,0,1
taking,0,0
playing,0,0
ago,0,0
associated,1,0
royal,1,0
remained,0,0
front,0,0
mean,1,0
oil,0,1
fact,0,1
hold,0,0
video,0,1
security,0,1
goes,0,0
majority,0,1
officials,0,0
aircraft,0,1
report,0,1
ground,0,1
department,0,1
russian,1,0
congress,0,1
longer,0,0
billion,0,0
believed,0,0
leading,1,0
rules,0,0
private,1,0
anti,0,0
reported,0,0
typically,0,0
fish,0,0
song,0,1
post,0,1
paper,0,1
provided,0,0
child,0,1
caused,0,0
includes,0,0
sound,0,1
nation,0,1
practice,0,1
surface,0,1
uses,0,0
independent,1,0
attack,0,1
legal,1,0
try,0,0
growth,0,1
wanted,1,0
individual,0,1
parents,0,0
latin,1,0
prime,0,0
designed,1,0
player,0,1
plan,0,1
types,0,0
room,0,1
view,0,1
referred,0,0
laws,0,0
list,0,1
base,0,1
russia,0,1
native,1,1
george,0,0
limited,1,0
material,0,1
site,0,1
cost,0,1
behind,0,1
canada,0,0
san,0,0
museum,0,1
coast,0,1
association,0,0
summer,1,1
whole,1,0
probably,0,0
larger,0,0
gas,0,1
specific,1,0
key,0,1
james,0,0
thing,0,1
involved,0,0
served,0,0
effects,0,0
complex,1,0
mostly,0,0
county,0,1
director,0,1
meaning,0,0
appeared,0,0
films,0,0
street,0,1
personal,1,0
call,0,1
kids,0,0
face,0,1
construction,0,1
alright,0,0
organization,0,1
success,0,1
nuclear,1,0
highest,0,0
co,0,0
physical,1,0
americans,0,0
bit,0,1
paul,0,0
bc,0,0
interest,0,0
era,0,1
asked,0,0
mid,0,0
results,0,0
returned,1,0
ice,0,0
worked,0,0
elected,1,0
test,0,1
britain,0,0
box,0,1
campaign,0,1
features,0,0
matter,0,1
greater,0,0
shows,0,0
japanese,1,0
allow,0,0
month,0,1
pressure,0,1
news,0,1
comes,0,0
rest,0,1
stop,0,0
produce,0,1
japan,0,0
fall,0,1
therefore,0,0
board,0,1
points,0,0
speed,0,1
football,0,1
founded,0,0
inside,0,1
code,0,1
programs,0,0
sold,0,0
conditions,0,0
primary,1,0
products,0,0
remains,0,0
career,0,1
title,0,1
club,0,1
names,0,0
bring,0,0
letter,0,1
lines,0,0
jewish,1,0
poor,1,0
changed,0,0
nice,1,0
defined,1,0
true,1,0
stated,1,0
widely,0,0
sit,0,0
chief,0,1
subject,0,1
release,0,1
method,0,1
getting,0,0
performance,0,1
create,0,0
pay,0,0
david,0,0
smaller,0,0
proposed,1,0
sure,0,0
hours,0,0
australia,0,1
training,0,1
cultural,1,0
job,0,1
actually,0,0
leader,0,1
originally,0,0
cut,0,1
access,0,1
issue,0,1
medical,1,0
recorded,1,0
catholic,1,0
sun,0,1
table,0,1
climate,0,1
blockquote,0,0
global,1,0
care,0,0
commonly,0,0
honey,0,1
wide,1,0
district,0,1
growing,1,0
trying,0,0
student,0,1
software,0,1
road,0,1
constitution,0,1
event,0,1
disease,0,1
obama,0,0
territory,0,1
hit,0,1
charles,0,0
difficult,0,0
looking,0,0
scientific,1,0
station,0,1
division,0,1
brown,1,0
decided,0,0
helped,0,0
needed,1,0
believe,0,0
italian,1,0
leave,0,0
levels,0,0
running,1,0
wife,0,1
animal,0,1
italy,0,1
lived,0,0
thank,0,0
met,0,0
historical,1,0
discovered,1,0
complete,1,0
response,0,1
gold,1,1
re,0,0
replaced,1,0
girl,0,1
religion,0,1
emperor,0,1
amount,0,1
experience,0,1
families,0,0
leaders,0,0
successful,1,0
estimated,1,0
supported,1,0
commercial,1,1
directly,0,0
independence,0,0
famous,1,0
characters,0,0
parliament,0,1
starting,0,0
decision,0,1
coming,1,0
female,1,1
variety,0,1
henry,0,0
sports,0,0
reached,0,0
sense,0,1
direct,1,0
happened,0,0
issues,0,0
units,0,0
vote,0,1
largely,0,0
robert,0,0
woman,0,1
via,0,0
bear,0,1
sources,0,0
separate,1,0
administration,0,1
operation,0,1
metal,1,1
internet,0,1
operations,0,0
numerous,0,0
concept,0,1
remember,0,0
records,0,0
temperature,0,1
uh,0,0
uk,0,0
la,0,0
maybe,0,0
ready,1,0
los,0,0
approximately,0,0
previous,1,0
reason,0,1
opened,0,0
passed,1,0
compared,0,0
entire,1,0
heavy,1,0
forced,1,0
democratic,1,0
scale,0,1
asia,0,0
product,0,1
pope,0,1
recently,0,0
award,0,1
lives,0,0
lake,0,1
humans,0,0
committee,0,1
additional,1,0
brother,0,1
race,0,1
active,1,0
peace,0,1
quickly,0,0
unit,0,1
length,0,1
bill,0,1
authority,0,1
build,0,1
bank,0,1
cold,1,0
tree,0,1
rome,0,0
relationship,0,1
saying,0,0
library,0,1
thomas,0,0
stage,0,1
claimed,1,0
treatment,0,1
navy,0,1
towards,0,0
chicago,0,0
highly,0,0
ocean,0,1
property,0,1
joined,0,0
treaty,0,1
turned,0,0
status,0,1
examples,0,0
teams,0,0
basic,1,0
centre,0,0
course,0,1
performed,1,0
write,0,0
adopted,1,0
regular,1,0
friends,0,0
troops,0,0
researchers,0,0
regions,0,0
lack,0,0
multiple,0,0
financial,1,0
governor,0,1
relations,0,0
border,0,1
risk,0,1
tradition,0,1
parties,0,0
peter,0,0
agreement,0,1
picture,0,1
cells,0,0
ended,0,0
stay,0,0
placed,0,0
text,0,1
stories,0,0
clear,1,0
finally,0,0
expected,1,0
israel,0,0
machine,0,1
ways,0,0
cup,0,1
pretty,1,0
showed,0,0
older,0,0
noted,0,0
mexico,0,0
basis,0,0
engine,0,1
simple,1,0
methods,0,0
hall,0,1
centuries,0,0
paris,0,0
train,0,1
plants,0,0
potential,1,1
degree,0,1
shown,0,0
takes,0,0
cross,0,1
hands,0,0
daughter,0,1
analysis,0,1
spread,0,1
rise,0,1
stars,0,0
talk,0,0
chemical,0,1
initially,0,0
square,0,1
blood,0,1
mainly,0,0
spent,1,0
marriage,0,1
places,0,0
piece,0,1
signed,1,0
bad,1,0
fell,0,0
hot,1,0
article,0,1
angeles,0,0
institute,0,1
simply,0,0
defense,0,1
dog,0,1
ship,0,1
latter,0,0
appear,0,0
mark,0,1
giving,0,0
winter,0,1
married,1,0
activity,0,1
classical,1,0
knowledge,0,1
approach,0,1
cell,0,1
divided,1,0
suggested,1,0
anything,0,0
ability,0,1
apple,0,1
plans,0,0
memory,0,1
previously,0,0
watch,0,1
letters,0,0
round,1,0
plant,0,1
date,0,1
relatively,0,0
spain,0,0
feet,0,0
weeks,0,0
continue,0,0
figure,0,1
hair,0,1
speech,0,1
contains,0,0
republican,1,0
collection,0,1
ideas,0,0
question,0,1
quality,0,1
feel,0,0
deal,0,1
male,1,1
argued,0,0
ones,0,0
currently,0,0
novel,1,1
efforts,0,0
pre,0,0
richard,0,0
revolution,0,1
tax,0,1
loss,0,1
fast,1,0
executive,0,1
primarily,0,0
thousands,0,0
distance,0,1
milk,0,1
environment,0,1
attempt,0,1
mission,0,1
needs,0,0
looks,0,0
functions,0,0
remain,0,0
moving,1,0
wait,0,0
attention,0,1
friend,0,1
powers,0,0
dead,1,0
attacks,0,0
win,0,0
launched,1,0
wants,0,0
arts,0,0
carried,0,0
weapons,0,0
share,0,0
heart,0,1
songs,0,0
louis,0,0
islamic,1,0
section,0,1
agreed,0,0
becoming,0,0
professor,0,1
failed,1,0
elections,0,0
charge,0,1
completed,1,0
michael,0,0
super,1,0
saint,0,0
literature,0,1
regional,1,0
flight,0,1
iii,0,0
grand,1,0
moon,0,1
drive,0,1
activities,0,0
appointed,1,0
jews,0,0
annual,1,0
provides,0,0
justice,0,1
soldiers,0,0
tried,0,0
applied,1,0
responsible,1,0
cars,0,0
closed,1,0
properties,0,0
double,1,0
increasing,1,0
digital,1,0
buildings,0,0
professional,1,0
positive,1,0
account,0,1
objects,0,0
press,0,1
influenced,1,0
scholars,0,0
declared,1,0
freedom,0,1
musical,1,0
reduced,1,0
pacific,0,0
necessary,1,0
ships,0,0
texas,0,0
store,0,1
safety,0,0
deep,1,0
upper,1,0
prior,1,0
philosophy,0,1
resulting,0,0
minutes,0,0
location,0,1
definition,0,1
magazine,0,1
airport,0,1
girls,0,0
accepted,1,0
meeting,0,1
individuals,0,0
income,0,1
except,0,0
electric,1,0
classes,0,0
nothing,0,0
command,0,1
author,0,1
ireland,0,0
management,0,1
exist,0,0
carbon,1,1
online,1,0
element,0,1
origin,0,1
appears,0,0
port,0,1
calendar,0,1
morning,0,1
ad,0,1
break,0,1
decades,0,0
notable,1,0
industrial,1,0
artists,0,0
critical,1,0
image,0,1
muslim,0,1
fields,0,0
yellow,1,0
assembly,0,1
opposition,0,1
commission,0,1
ah,0,0
reach,0,0
shot,0,1
beyond,0,0
armed,1,0
offered,1,0
everything,0,0
goal,0,1
object,0,1
presidential,0,0
equipment,0,1
transport,0,1
dna,0,1
generation,0,1
bird,0,1
fighting,0,1
fight,0,1
conflict,0,1
gives,0,0
intended,1,0
grew,0,0
birth,0,1
equal,1,0
urban,1,0
push,0,1
normal,1,0
operating,0,0
floor,0,1
convention,0,1
presence,0,1
initial,1,0
pass,0,1
allows,0,0
travel,0,1
iron,0,1
difference,0,1
heat,0,1
jobs,0,0
frequently,0,0
brain,0,1
values,0,0
featured,1,0
materials,0,0
secretary,0,1
bowl,0,1
applications,0,0
track,0,1
direction,0,1
conference,0,1
cat,0,1
claims,0,0
feature,0,1
valley,0,1
staff,0,1
cover,0,1
stone,0,1
protection,0,1
toward,0,0
identified,1,0
hey,0,0
resources,0,0
engineering,0,0
models,0,0
derived,1,0
combined,1,0
impact,0,1
stand,0,1
prevent,0,0
communities,0,0
kept,0,0
focus,0,0
alone,0,0
raised,1,0
powerful,1,0
agency,0,1
movie,0,1
wall,0,1
academy,0,1
writer,0,1
buy,0,0
tour,0,1
chair,0,1
page,0,1
speaking,0,0
reference,0,1
felt,0,0
sexual,0,0
smith,0,0
represented,1,0
minute,0,1
occur,0,0
bed,0,1
owned,1,0
province,0,1
distribution,0,1
bus,0,1
composed,1,0
residents,0,0
extended,1,0
remaining,1,0
fiction,0,1
claim,0,1
bay,0,1
effort,0,1
foundation,0,1
serve,0,1
price,0,1
exchange,0,1
sign,0,1
officers,0,0
mountain,0,1
citizens,0,0
polish,0,0
paid,0,0
occurred,0,0
dark,1,0
please,0,0
internal,1,0
supreme,1,0
standards,0,0
learn,0,0
visit,0,0
effective,1,0
creation,0,1
plane,0,1
earliest,0,0
horse,0,1
develop,0,0
carry,0,0
acid,0,1
learning,0,0
volume,0,1
arrived,0,0
allowing,0,0
finished,1,0
content,0,1
opposed,1,0
immediately,0,0
situation,0,1
eyes,0,0
wave,0,1
arms,0,0
contemporary,1,0
reduce,0,0
weight,0,1
perhaps,0,0
politics,0,0
entered,0,0
labor,0,1
mouth,0,1
refer,0,0
dance,0,1
solar,1,0
festival,0,1
alternative,1,0
issued,0,0
channel,0,1
negative,1,0
violence,0,1
hope,0,1
ethnic,1,0
phase,0,1
draw,0,0
follow,0,0
existence,0,1
holy,1,0
protect,0,0
leaving,0,0
environmental,1,0
supply,0,1
unlike,0,0
runs,0,0
mind,0,1
meet,0,0
queen,0,1
poland,0,0
consists,0,0
offer,0,1
contain,0,0
versions,0,0
display,0,1
purpose,0,1
ordered,1,0
hear,0,0
serious,1,0
bye,0,0
joseph,0,0
greatest,0,0
eating,0,0
pieces,0,0
someone,0,0
understand,0,0
irish,0,0
controlled,1,0
rates,0,0
advanced,1,0
reading,0,0
fuel,0,1
overall,0,0
sex,0,0
require,0,0
damage,0,1
canadian,0,0
step,0,1
doctor,0,1
victory,0,1
hi,0,0
trees,0,0
egypt,0,0
hour,0,1
contrast,0,1
resulted,0,0
plays,0,0
instance,0,1
address,0,1
presented,1,0
wars,0,0
hospital,0,1
um,0,0
lord,0,1
australian,0,0
competition,0,1
door,0,1
destroyed,1,0
completely,0,0
gone,0,0
unique,1,0
wow,0,0
acts,0,0
voice,0,1
reaction,0,1
planned,1,0
respectively,0,0
causes,0,0
sets,0,0
aid,0,1
devices,0,0
edition,0,1
senate,0,1
notes,0,0
winning,1,0
removed,1,0
inspired,1,0
branch,0,1
shall,0,0
motion,0,1
sales,0,0
prize,0,1
factors,0,0
officer,0,1
meant,0,0
fully,0,0
measure,0,1
mary,0,0
worldwide,1,0
foot,0,1
views,0,0
sites,0,0
crisis,0,1
differences,0,0
actions,0,0
connected,1,0
florida,0,0
block,0,1
opening,0,1
prominent,1,0
miles,0,0
statement,0,1
behavior,0,1
martin,0,0
ran,0,0
refused,1,0
solution,0,1
choice,0,1
wild,1,0
directed,1,0
imperial,1,0
creating,0,0
ring,0,1
wear,0,0
pick,0,0
figures,0,0
avoid,0,0
pakistan,0,0
spring,0,1
formation,0,1
communist,0,1
increasingly,0,0
mountains,0,0
expressed,0,0
prince,0,1
contact,0,1
techniques,0,0
korea,0,0
frequency,0,1
bridge,0,1
cancer,0,1
recognized,1,0
organizations,0,0
quite,0,0
stations,0,0
subsequently,0,0
discovery,0,1
planet,0,1
drink,0,1
expansion,0,1
appearance,0,1
daily,1,0
medicine,0,1
minor,0,1
signal,0,1
medieval,1,0
reasons,0,0
fixed,1,0
relative,0,1
critics,0,0
experts,0,0
windows,0,0
reports,0,0
projects,0,0
shape,0,1
intelligence,0,1
studied,0,0
rich,1,0
grow,0,0
orange,0,1
sister,0,1
defeated,1,0
arab,0,1
glass,0,1
snow,0,1
observed,1,0
core,0,1
huge,1,0
churches,0,0
vice,0,0
hill,0,1
sector,0,1
sport,0,1
conservative,1,1
boys,0,0
heard,0,0
authorities,0,0
dogs,0,0
users,0,0
regarded,1,0
marine,0,0
application,0,1
structures,0,0
birds,0,0
equivalent,1,0
policies,0,0
officially,0,0
camp,0,1
determined,1,0
distinct,0,0
formal,1,0
theatre,0,1
calls,0,0
secret,1,1
subsequent,1,0
understanding,1,0
target,0,1
hundreds,0,0
forest,0,1
domestic,1,0
universe,0,1
expanded,0,0
bodies,0,0
note,0,1
pictures,0,0
conducted,0,0
drug,0,1
pop,0,0
represent,0,0
sought,0,0
teachers,0,0
rare,1,0
device,0,1
flow,0,0
gained,0,0
iraq,0,0
jesus,0,0
existing,1,0
nearby,1,0
constant,1,0
eye,0,1
leadership,0,1
truck,0,1
decade,0,1
demand,0,1
silver,1,1
consider,0,0
meat,0,1
search,0,0
broke,0,0
agriculture,0,1
sleep,0,1
marked,1,0
temperatures,0,0
crime,0,1
alexander,0,0
mixed,1,0
sequence,0,1
village,0,1
receive,0,0
identity,0,1
host,0,1
link,0,1
resistance,0,1
costs,0,0
holding,0,0
occurs,0,0
tape,0,1
throw,0,1
awards,0,0
weather,0,1
developing,0,0
specifically,0,0
happy,1,0
hydrogen,0,1
walk,0,1
possibly,0,0
easily,0,0
ages,0,0
scene,0,1
covered,1,0
awarded,1,0
learned,0,0
mentioned,0,0
zero,0,1
dropped,1,0
seat,0,1
hurt,0,0
ruled,0,0
gun,0,1
requires,0,0
follows,0,0
limit,0,1
containing,0,0
hello,0,0
hat,0,1
artist,0,1
importance,0,1
lady,0,1
fit,0,0
wood,0,1
electronic,1,0
user,0,1
labour,0,1
debate,0,1
match,0,1
wrong,1,0
orthodox,1,0
message,0,1
becomes,0,0
younger,0,0
authors,0,0
historian,0,1
spoken,1,0
proved,1,0
suggests,0,0
wind,0,1
episode,0,1
crew,0,1
institutions,0,0
improve,0,0
everyone,0,0
baseball,0,1
boat,0,1
attempts,0,0
depending,0,0
computers,0,0
standing,1,0
refers,0,0
scotland,0,0
universal,1,0
principle,0,1
dry,1,0
km,0,0
faith,0,0
vehicles,0,0
dr,0,0
fine,1,0
count,0,1
review,0,1
liberal,1,0
safe,1,0
dynasty,0,1
combat,0,1
oldest,0,0
cycle,0,1
seems,0,0
begin,0,0
architecture,0,1
testing,0,0
organized,1,0
factor,0,1
farm,0,1
extensive,1,0
railway,0,1
sides,0,0
physics,0,1
shared,1,0
instruments,0,0
houses,0,0
edward,0,0
roughly,0,0
zone,0,1
fun,1,0
card,0,1
invasion,0,1
syria,0,0
writers,0,0
images,0,0
looked,0,0
easy,1,0
attempted,1,0
census,0,1
forward,1,0
johnson,0,0
tower,0,1
painting,0,1
closely,0,0
asian,0,1
belief,0,1
virginia,0,0
captured,0,0
settlement,0,1
questions,0,0
combination,0,1
providing,0,0
recording,0,1
significantly,0,0
naval,0,1
ultimately,0,0
knew,0,0
apart,0,0
technical,1,0
adam,0,0
notably,0,0
reform,0,1
visited,0,0
typical,1,0
zealand,0,0
otherwise,0,0
studio,0,1
el,0,0
ranked,0,0
capacity,0,1
ask,0,0
clean,1,0
campus,0,1
tools,0,0
suffered,1,0
atlantic,0,0
ahead,0,0
string,0,1
heavily,0,0
circle,0,1
practices,0,0
farmers,0,0
secondary,1,0
affected,0,0
afghanistan,0,0
rejected,0,0
literary,0,0
sunday,0,1
magnetic,1,0
tests,0,0
etc,0,0
actual,1,0
broadcast,0,1
quantum,1,0
broken,1,0
teaching,0,0
context,0,1
whereas,0,0
describes,0,0
launch,0,1
van,0,1
mobile,1,0
programming,0,0
academic,1,0
external,1,0
granted,1,0
golden,1,0
temple,0,1
christ,0,0
guard,0,1
positions,0,0
approved,0,0
contract,0,1
widespread,1,0
route,0,1
describe,0,0
berlin,0,0
sell,0,0
wing,0,1
traffic,0,1
changing,1,0
symbol,0,1
oxygen,0,1
ride,0,1
causing,0,0
radiation,0,1
density,0,1
determine,0,0
slightly,0,0
newspaper,0,1
condition,0,1
failure,0,1
rice,0,1
steel,0,1
expensive,1,0
nose,0,1
communication,0,1
twice,0,0
joint,0,0
reign,0,0
audience,0,1
cards,0,0
setting,0,1
courts,0,0
chain,0,1
achieved,0,0
focused,0,0
measures,0,0
strength,0,1
perform,0,0
opera,0,1
nfl,0,0
improved,1,0
split,1,0
decline,0,1
governments,0,0
lee,0,0
beach,0,1
genetic,1,0
chance,0,1
phone,0,1
cast,0,1
juice,0,1
seats,0,0
fly,0,1
theories,0,0
affairs,0,0
extremely,0,0
francisco,0,0
criticism,0,1
populations,0,0
dangerous,1,0
master,0,1
evolution,0,1
supposed,1,0
permanent,1,0
teacher,0,1
sugar,0,1
shortly,0,0
greece,0,0
gdp,0,0
web,0,1
advantage,0,1
extra,1,0
candidate,0,1
join,0,0
path,0,1
maximum,1,0
funny,1,0
fans,0,0
birthday,0,1
traditionally,0,0
goods,0,0
parks,0,0
christianity,0,1
un,0,0
gain,0,1
processes,0,0
threat,0,1
contained,1,0
die,0,0
territories,0,0
championship,0,1
producing,1,0
laura,0,0
operated,1,0
trial,0,1
rose,0,1
stadium,0,1
slow,1,0
attended,0,0
useful,1,0
entirely,0,0
toys,0,0
explained,0,0
connection,0,1
iran,0,0
popularity,0,1
speak,0,1
youth,0,1
universities,0,0
output,0,1
skills,0,0
listed,0,0
flying,0,0
components,0,0
onto,0,0
maintain,0,0
turkey,0,1
reality,0,1
background,0,1
ray,0,1
