word,JJ-0,NN-0
chosen,1,0
brothers,0,0
christians,0,0
gets,0,0
agricultural,1,0
formula,0,1
taught,0,0
regarding,0,0
linked,1,0
respect,0,1
particles,0,0
careful,1,0
rivers,0,0
soil,0,1
selling,0,0
thinking,0,0
save,0,0
concerns,0,0
senior,0,1
budget,0,1
pull,0,0
compounds,0,0
principal,0,1
introduction,0,1
confirmed,1,0
historic,1,0
similarly,0,0
vehicle,0,1
boston,0,0
texts,0,0
fear,0,1
israeli,0,0
eggs,0,0
manager,0,1
pro,0,1
stopped,0,0
screen,0,1
couple,0,1
visitors,0,0
rail,0,1
finding,0,1
publication,0,1
unable,0,0
surrounding,0,1
ministry,0,1
skin,0,1
occupied,1,0
biggest,0,0
rural,1,0
husband,0,1
spirit,0,1
concluded,0,0
transportation,0,1
bell,0,1
towns,0,0
revealed,1,0
bishop,0,1
degrees,0,0
survey,0,1
criminal,0,1
obtained,1,0
principles,0,0
tribes,0,0
carolina,0,0
signs,0,0
waves,0,0
catch,0,1
continues,0,0
treated,0,0
blocks,0,0
defeat,0,1
quarter,0,1
talking,1,0
sir,0,0
historians,0,0
poem,0,1
portuguese,0,1
newly,0,0
adding,0,0
bottom,0,1
camera,0,1
sounds,0,0
serving,0,1
mental,0,0
fewer,0,0
happen,0,0
managed,1,0
lands,0,0
constructed,1,0
historically,0,0
coffee,0,1
investment,0,1
aspects,0,0
columbia,0,1
file,0,1
palace,0,1
calling,0,0
administrative,1,0
unknown,1,0
slavery,0,1
grown,0,0
edge,0,1
minimum,0,0
massive,1,0
seem,0,0
employed,1,0
settled,1,0
tend,0,0
mathematics,0,1
normally,0,0
maintained,1,0
flag,0,1
fleet,0,1
immigrants,0,0
progress,0,1
colonial,1,0
crown,0,1
poverty,0,1
documents,0,0
defence,0,1
votes,0,0
netherlands,0,0
indigenous,1,0
representatives,0,0
roads,0,0
engines,0,0
alliance,0,1
transfer,0,1
jones,0,0
commander,0,1
vietnam,0,0
stable,1,0
rapidly,0,0
deaths,0,0
castle,0,1
neither,0,0
emerged,1,0
monday,0,0
linear,1,0
sarah,0,0
homes,0,0
captain,0,1
traditions,0,0
items,0,0
santa,0,0
score,0,1
islam,0,0
severe,1,0
von,0,0
dedicated,1,0
businesses,0,0
putting,0,0
instrument,0,1
prison,0,1
jersey,0,0
holds,0,0
finish,0,0
send,0,0
machines,0,0
bears,0,0
supporters,0,0
mine,0,0
brazil,0,0
prices,0,0
solid,1,0
entertainment,0,1
pair,0,1
influential,1,0
experienced,1,0
exactly,0,0
mount,0,0
declined,0,0
mathematical,1,0
touch,0,1
fix,0,1
sciences,0,0
showing,0,0
grant,0,1
straight,1,0
selected,0,0
nazi,0,0
contributed,0,0
represents,0,0
technique,0,1
persian,0,0
theme,0,1
interview,0,1
duke,0,1
acquired,1,0
fundamental,1,0
muslims,0,0
planning,0,0
extreme,1,0
noise,0,1
fort,0,1
journal,0,1
fought,0,0
sweden,0,0
orders,0,0
bush,0,1
networks,0,0
sky,0,1
patients,0,0
mayor,0,1
accounts,0,0
hunting,0,0
walls,0,0
leaves,0,0
tourism,0,1
electron,0,1
recognition,0,1
wearing,0,0
establish,0,0
purposes,0,0
medium,0,1
manufacturing,0,1
usage,0,1
greatly,0,0
candidates,0,0
driving,0,0
proper,1,0
faster,0,0
bought,0,0
acting,0,0
roll,0,1
filled,1,0
disney,0,0
constitutional,1,0
concerned,0,0
facilities,0,0
increases,0,0
corporation,0,1
argument,0,1
communications,0,0
format,0,1
guitar,0,1
rapid,1,0
trip,0,1
honor,0,1
opportunity,0,1
ottoman,0,0
peoples,0,0
resolution,0,1
jackson,0,0
guns,0,0
districts,0,0
drop,0,1
pattern,0,1
movements,0,0
vector,0,1
slaves,0,0
measured,1,0
expression,0,1
spend,0,0
protein,0,1
attacked,0,0
truth,0,1
criticized,1,0
telephone,0,1
ukraine,0,0
liquid,0,1
challenge,0,1
add,0,0
poetry,0,1
wilson,0,0
teeth,0,0
translation,0,1
strongly,0,0
killing,0,0
spoke,0,0
layer,0,1
accused,1,0
exists,0,0
jerusalem,0,0
dominated,1,0
designs,0,0
scott,0,0
map,0,1
atmosphere,0,1
index,0,1
legislation,0,1
establishment,0,1
kill,0,0
basketball,0,1
bands,0,0
coalition,0,1
lincoln,0,0
capable,1,0
judge,0,1
nasa,0,0
bce,0,0
ross,0,0
continuous,1,0
fishing,0,0
alongside,0,0
salt,0,1
sitting,0,0
housing,0,1
theorem,0,1
opposite,0,1
worth,0,0
mama,0,1
composition,0,1
supporting,0,1
arabic,0,0
equation,0,1
fellow,0,1
bbc,0,0
cuba,0,1
helps,0,0
colors,0,0
williams,0,0
stock,0,1
egyptian,0,0
dates,0,0
gender,0,1
korean,0,0
democracy,0,1
multi,0,0
ratio,0,1
bible,0,1
rising,1,0
enter,0,0
interests,0,0
drugs,0,0
characteristics,0,0
website,0,1
processing,0,0
iv,0,0
interested,1,0
accept,0,0
fair,1,0
flat,1,0
producer,0,1
immigration,0,1
description,0,1
allies,0,0
perfect,1,0
viewed,1,0
extent,0,1
millions,0,0
succeeded,1,0
experiments,0,0
stores,0,0
ban,0,1
ensure,0,0
jack,0,0
spending,0,0
pilot,0,1
tiny,1,0
anyone,0,0
raise,0,0
titled,1,0
category,0,1
arm,0,1
details,0,0
none,0,0
protected,1,0
atomic,1,0
stuff,0,1
comedy,0,1
prepared,1,0
caught,0,0
portion,0,1
yep,0,0
operate,0,0
opinion,0,1
olympic,0,0
headquarters,0,0
task,0,1
script,0,1
hence,0,0
hole,0,1
adult,0,1
practical,1,0
corps,0,0
explain,0,0
parallel,1,0
southeast,1,0
offers,0,0
suggest,0,0
sing,0,0
ending,0,1
colony,0,1
vast,1,0
giant,1,1
heritage,0,1
easier,0,0
buried,1,0
happens,0,0
peninsula,0,1
ohio,0,0
warm,1,0
shooting,0,0
moment,0,1
gene,0,1
adults,0,0
infrastructure,0,1
banks,0,0
jean,0,0
minority,0,1
amounts,0,0
carrying,0,0
guy,0,1
kinds,0,0
sort,0,1
le,0,0
evolved,1,0
drawn,0,0
achieve,0,0
owners,0,0
separated,1,0
semi,0,1
storage,0,1
electrical,1,0
patterns,0,0
scientist,0,1
closer,0,0
moral,1,0
selection,0,1
fund,0,1
bacteria,0,0
electricity,0,1
canal,0,1
mode,0,1
streets,0,0
statistics,0,0
faced,0,0
limits,0,0
strategy,0,1
emergency,0,1
abandoned,1,0
sub,0,0
coastal,1,0
vary,0,0
circuit,0,1
relation,0,1
cabinet,0,1
drawing,0,1
funding,0,0
duck,0,1
writings,0,0
representation,0,1
interpretation,0,1
employees,0,0
tuesday,0,0
periods,0,0
essential,1,0
comic,1,1
eu,0,0
fox,0,1
grade,0,1
voted,0,0
transition,0,1
enemy,0,1
cookie,0,1
coach,0,1
nevertheless,0,0
microsoft,0,0
illegal,1,0
concern,0,1
effectively,0,0
meanwhile,0,0
laboratory,0,1
height,0,1
mining,0,0
frame,0,1
elizabeth,0,0
plus,0,0
gulf,0,1
gradually,0,0
cable,0,1
indeed,0,0
articles,0,0
garden,0,1
atoms,0,0
tea,0,1
symptoms,0,0
inhabitants,0,0
centers,0,0
legacy,0,1
speakers,0,0
visual,1,0
mars,0,1
scottish,1,0
shaped,0,0
modified,1,0
beautiful,1,0
charged,1,0
tom,0,0
plate,0,1
episodes,0,0
swedish,1,0
transmission,0,1
generated,1,0
origins,0,0
fruit,0,1
cool,1,0
visible,1,0
identify,0,0
amendment,0,1
biological,1,0
dominant,1,0
representative,1,0
founder,0,1
kings,0,0
allied,1,0
coal,0,1
shoes,0,0
considerable,1,0
indicate,0,0
wales,0,0
experiment,0,1
waters,0,0
sons,0,0
molecules,0,0
estimates,0,0
hungary,0,0
wildlife,0,1
subjects,0,0
successfully,0,0
shift,0,1
friday,0,0
steps,0,0
owner,0,1
leads,0,0
favor,0,1
formally,0,0
begins,0,0
consisting,0,0
doctors,0,0
roosevelt,0,0
decisions,0,0
arrested,0,0
electrons,0,0
slave,0,1
cultures,0,0
inner,0,0
roots,0,0
converted,1,0
error,0,1
driven,1,0
diseases,0,0
roles,0,0
partly,0,0
refugees,0,0
republicans,0,0
classified,1,0
collected,1,0
investigation,0,1
educational,1,0
forming,0,0
classic,1,0
choose,0,0
customers,0,0
counter,0,1
protests,0,0
logic,0,1
component,0,1
austria,0,0
goals,0,0
benefit,0,1
rain,0,1
wednesday,0,0
charges,0,0
concert,0,1
tail,0,1
jump,0,1
hebrew,0,0
nobel,0,1
involving,0,0
agents,0,0
teach,0,0
spot,0,1
beliefs,0,0
additionally,0,0
hitler,0,0
involves,0,0
cook,0,1
colonies,0,0
apply,0,0
request,0,1
assumed,1,0
pure,1,0
replace,0,0
genre,0,1
favorite,1,0
escape,0,1
lowest,0,0
fame,0,1
spiritual,1,0
titles,0,0
concepts,0,0
trading,0,0
understood,0,0
chemistry,0,1
attached,1,0
bar,0,1
reputation,0,1
proteins,0,0
attributed,0,0
survived,0,0
strike,0,1
locations,0,0
norway,0,0
lies,0,0
cheese,0,1
doctrine,0,1
root,0,1
reaching,0,0
frank,0,0
satellite,0,1
mr,0,0
copies,0,0
affect,0,0
assigned,1,0
membership,0,1
peak,0,1
markets,0,0
helping,0,0
promote,0,0
foods,0,0
classification,0,1
losing,1,0
input,0,1
balance,0,0
turning,0,0
manner,0,1
occasionally,0,0
existed,1,0
benefits,0,0
orbit,0,1
conservation,0,1
seasons,0,0
signals,0,0
brand,0,1
silly,1,0
regime,0,1
whales,0,0
soft,1,0
controversy,0,1
zoo,0,1
hardware,0,1
controversial,1,0
weak,1,0
revolutionary,1,0
egg,0,1
concentration,0,1
tank,0,1
uniform,0,1
editor,0,1
hotel,0,1
horses,0,0
pain,0,1
document,0,1
passing,0,0
successor,0,1
passage,0,1
socialist,0,0
assistance,0,1
reforms,0,0
dollars,0,0
exercise,0,1
formerly,0,0
agent,0,1
bones,0,0
consumption,0,1
trouble,0,1
possibility,0,1
broad,1,0
chose,0,0
genes,0,0
rarely,0,0
argues,0,0
jazz,0,1
bringing,0,0
exception,0,1
sweetie,0,1
designated,1,0
committed,1,0
paintings,0,0
agree,0,0
matters,0,0
protocol,0,1
debt,0,1
missouri,0,0
wine,0,1
drew,0,0
featuring,0,0
actor,0,1
somewhat,0,0
waste,0,1
mechanical,1,0
personnel,0,1
davis,0,0
renamed,0,0
passengers,0,0
fresh,1,0
lay,0,0
provinces,0,0
gay,1,0
audio,0,1
incorporated,1,0
proof,0,1
capture,0,0
responsibility,0,1
bunny,0,1
particle,0,1
branches,0,0
corresponding,1,0
georgia,0,0
violent,1,0
lewis,0,0
memorial,0,1
hosted,1,0
cow,0,1
answer,0,1
extension,0,1
males,0,0
mediterranean,0,0
performing,0,0
poet,0,1
relationships,0,0
appeal,0,1
serves,0,0
empty,1,0
lion,0,1
argue,0,0
sample,0,1
oxford,0,0
spaces,0,0
cited,0,0
retired,1,0
legislative,1,0
tool,0,1
northwest,1,0
vision,0,1
keeping,0,0
incident,0,1
continental,1,0
variable,0,1
ends,0,0
mouse,0,1
entry,0,1
walking,0,0
lose,0,0
breakfast,0,1
driver,0,1
chairman,0,1
promoted,1,0
unless,0,0
destruction,0,1
bob,0,0
saturday,0,1
bag,0,1
tracks,0,0
ceremony,0,1
advance,0,1
chicken,0,1
suit,0,1
borders,0,0
correct,1,0
seeking,0,0
representing,0,0
folk,0,1
rank,0,1
voters,0,0
experimental,1,0
arthur,0,0
yards,0,0
stephen,0,0
taxes,0,0
impossible,1,0
mexican,0,0
voting,0,0
clothes,0,0
murder,0,1
turkish,0,0
adapted,1,0
divine,1,0
clearly,0,0
novels,0,0
moscow,0,0
receiving,0,0
mechanism,0,1
musicians,0,0
motor,0,1
necessarily,0,0
protestant,0,0
ruling,0,0
translated,1,0
interior,1,0
julian,0,0
chamber,0,1
rocks,0,0
domain,0,1
bass,0,1
bigger,0,0
fired,1,0
michigan,0,0
toy,0,1
earned,1,0
falling,0,0
dating,0,0
industries,0,0
express,0,0
writes,0,0
distributed,1,0
seemed,0,0
evil,1,0
begun,0,0
soul,0,1
references,0,0
movies,0,0
struggle,0,1
hopes,0,0
alcohol,0,1
offices,0,0
healthy,1,0
links,0,0
trained,1,0
firm,1,1
singer,0,1
organic,1,0
missions,0,0
scenes,0,0
kittie,0,1
returning,1,0
plastic,1,1
persons,0,0
founding,1,0
magnitude,0,1
pollution,0,1
colleges,0,0
federation,0,1
kansas,0,0
styles,0,0
unusual,1,0
hollywood,0,0
net,0,1
encouraged,1,0
produces,0,0
clock,0,1
bond,0,1
sale,0,0
planets,0,0
platform,0,1
passenger,0,1
democrats,0,0
funds,0,0
lunch,0,1
credit,0,1
kong,0,0
requirements,0,0
yard,0,1
commonwealth,0,0
illinois,0,0
algorithm,0,1
chapter,0,1
delivered,1,0
wheel,0,1
slowly,0,0
symbols,0,0
reducing,0,0
lie,0,1
clinton,0,0
absolute,1,0
sufficient,1,0
infantry,0,1
heads,0,0
bound,0,1
axis,0,1
transferred,0,0
desert,0,1
cream,0,1
characterized,0,0
dress,0,1
window,0,1
printed,1,0
angle,0,1
worst,0,0
percentage,0,1
plot,0,1
guess,0,1
proposal,0,1
feed,0,1
finland,0,0
wet,1,0
lakes,0,0
racial,1,0
dimensional,1,0
leg,0,1
integrated,1,0
factory,0,1
anniversary,0,1
flowers,0,0
dependent,1,0
reduction,0,1
clubs,0,0
alex,0,0
fashion,0,1
divisions,0,0
storm,0,1
throne,0,1
missing,1,0
distinction,0,1
substantial,1,0
regularly,0,0
banned,1,0
headed,0,0
survive,0,0
depends,0,0
pennsylvania,0,0
studying,0,0
sick,1,0
rocket,0,1
elsewhere,0,0
discussed,1,0
bone,0,1
dream,0,1
metropolitan,0,0
false,1,0
massachusetts,0,0
implemented,0,0
landing,1,1
swimming,1,0
themes,0,0
expert,0,1
germans,0,0
demonstrated,1,0
crimes,0,0
ibm,0,0
mail,0,1
seeing,0,0
falls,0,0
immediate,1,0
wolf,0,1
olympics,0,0
apollo,0,1
boats,0,0
spin,0,1
check,0,1
essentially,0,0
institution,0,1
joe,0,0
cave,0,1
wealth,0,1
legs,0,0
laid,0,0
underground,0,1
et,0,0
lots,0,0
ordinary,1,0
depression,0,1
senator,0,1
tanks,0,0
experiences,0,0
philadelphia,0,0
pointed,1,0
magic,0,1
declaration,0,1
max,0,0
stating,0,0
variations,0,0
stood,0,0
sum,0,1
missile,0,1
mainland,0,0
technologies,0,0
hypothesis,0,1
medal,0,1
collapse,0,1
ideal,1,0
parliamentary,0,0
revenue,0,1
trust,0,1
gods,0,0
decide,0,0
seek,0,0
breaking,0,0
reactions,0,0
probability,0,1
apparent,1,0
tells,0,0
dinner,0,1
invented,1,0
knows,0,0
hungarian,0,0
tons,0,0
originated,1,0
fantasy,0,1
engineer,0,0
performances,0,0
organisms,0,0
estate,0,1
outer,1,0
boom,0,1
seconds,0,0
stages,0,0
detailed,1,0
feeling,0,1
believes,0,0
prayer,0,1
philip,0,0
kennedy,0,0
thanks,0,0
bread,0,1
strategic,1,0
indicated,0,0
supplies,0,0
metals,0,0
engaged,1,0
remove,0,0
installed,1,0
conventional,1,0
diverse,1,0
recommended,1,0
restaurants,0,0
journey,0,1
define,0,0
females,0,0
agencies,0,0
be,0,0
have,0,0
protest,0,1
gray,1,0
albert,0,0
migration,0,1
athletes,0,0
graduate,0,0
brief,1,0
psychology,0,1
weapon,0,1
label,0,1
palestinian,0,0
reserve,0,1
albums,0,0
treat,0,1
copper,0,1
jim,0,0
accompanied,0,0
appropriate,1,0
contributions,0,0
mike,0,0
thursday,0,0
arrival,0,1
entitled,1,0
preferred,1,0
spectrum,0,1
occupation,0,1
categories,0,0
partner,0,1
romans,0,0
threatened,1,0
covers,0,0
facility,0,1
philosophical,1,0
celebrated,1,0
finite,1,0
credited,1,0
victims,0,0
trains,0,0
tobacco,0,1
taiwan,0,0
denmark,0,0
losses,0,0
velocity,0,1
purple,1,0
andrew,0,0
expedition,0,1
solutions,0,0
enforcement,0,1
duty,0,1
forests,0,0
civilian,0,1
stored,1,0
publicly,0,0
molecular,1,0
approval,0,1
alpha,0,0
supports,0,0
francis,0,0
finger,0,1
bronze,1,0
watching,0,0
employment,0,1
obtain,0,0
papers,0,0
stuck,1,0
artificial,1,0
currency,0,1
consumer,0,1
moves,0,0
ill,0,0
taste,0,1
routes,0,0
piano,0,1
guide,0,1
desire,0,1
stands,0,0
engineers,0,0
electoral,0,0
tall,1,0
doggie,0,1
saudi,0,0
diplomatic,1,0
scheme,0,1
corn,0,1
tone,0,1
server,0,1
elementary,1,0
painted,1,0
switzerland,0,0
syrian,0,0
cape,0,1
longest,0,0
exposure,0,1
strip,0,1
sees,0,0
secure,1,0
somebody,0,0
restrictions,0,0
hong,0,0
sand,0,1
prisoners,0,0
exposed,1,0
programme,0,1
distinguished,1,0
annually,0,0
spacecraft,0,1
virus,0,1
anglo,0,0
virtual,1,0
referring,0,0
plain,1,0
ministers,0,0
thinks,0,0
cooperation,0,1
nominated,1,0
influences,0,0
consisted,0,0
lasted,0,0
shirt,0,1
dispute,0,1
sections,0,0
bomb,0,1
conversion,0,1
diet,0,1
whoops,0,0
presidency,0,1
suffering,0,0
stick,0,1
sentence,0,1
handle,0,1
drinking,0,0
comparison,0,1
surviving,1,0
waiting,0,0
crops,0,0
tissue,0,1
exports,0,0
draft,0,1
furthermore,0,0
downtown,0,1
exact,1,0
neck,0,1
purchase,0,1
pink,1,0
dialects,0,0
everybody,0,0
steve,0,0
elephant,0,1
chocolate,0,1
muhammad,0,0
purchased,0,0
therapy,0,1
crash,0,1
notion,0,1
damaged,1,0
abe,0,0
isolated,1,0
grounds,0,0
tube,0,1
ranging,0,0
caribbean,1,0
beat,0,1
arguments,0,0
narrow,1,0
lists,0,0
sweet,1,0
phenomenon,0,1
pages,0,0
stress,0,1
listen,0,0
efficient,1,0
latest,0,0
retained,1,0
column,0,1
aimed,0,0
apparently,0,0
fighters,0,0
worse,0,0
responded,1,0
row,0,1
documentary,0,1
corruption,0,1
theoretical,1,0
pushed,0,0
diego,0,0
operates,0,0
phrase,0,1
substance,0,1
powered,0,0
eve,0,0
germanic,0,0
economics,0,0
findings,0,0
ruler,0,1
insurance,0,1
kiss,0,1
frequent,1,0
perceived,1,0
boundary,0,1
hearing,0,0
radical,1,0
discussion,0,1
racing,0,0
repeated,1,0
mom,0,0
preserved,1,0
offering,0,1
characteristic,0,0
mix,0,1
regard,0,0
implementation,0,1
hired,0,0
warfare,0,1
prove,0,0
emphasis,0,1
continuing,1,0
renaissance,0,1
invited,1,0
khan,0,0
offensive,0,0
denied,0,0
paint,0,1
childhood,0,1
promised,0,0
copy,0,1
aim,0,0
consistent,1,0
adams,0,0
neighborhood,0,1
crystal,0,1
math,0,0
bet,0,1
license,0,1
opponents,0,0
frederick,0,0
bath,0,1
sheep,0,0
theater,0,1
carrier,0,1
partially,0,0
hop,0,0
equations,0,0
usual,1,0
alphabet,0,1
whoa,0,0
instruction,0,1
switch,0,1
vacuum,0,1
sorry,0,0
lions,0,0
whale,0,1
variation,0,1
meetings,0,0
varies,0,0
guinea,0,0
conduct,0,1
wake,0,0
overseas,0,0
boo,0,0
seventh,1,0
organisation,0,1
tournament,0,1
hills,0,0
dated,1,0
dollar,0,1
tired,1,0
depth,0,1
blow,0,0
decay,0,1
bite,0,1
tropical,1,0
soccer,0,0
attracted,0,0
partial,1,0
remote,0,1
harry,0,0
binary,1,0
bang,0,1
races,0,0
instructions,0,0
pig,0,1
channels,0,0
jordan,0,0
buddhist,0,1
mechanics,0,0
circumstances,0,0
legend,0,1
cutting,0,0
picked,0,0
matrix,0,1
intellectual,1,0
faces,0,0
describing,0,0
scheduled,1,0
reflected,1,0
shell,0,1
conquest,0,1
shut,0,0
ford,0,0
messages,0,0
bonds,0,0
regulations,0,0
rolling,1,0
clothing,0,1
byzantine,0,0
danish,0,0
samples,0,0
finds,0,0
composer,0,1
hero,0,1
ownership,0,0
certainly,0,0
victoria,0,0
dozen,0,0
northeast,0,0
restaurant,0,1
societies,0,0
uncle,0,1
fled,0,0
paying,0,0
connections,0,0
donald,0,0
airplane,0,1
admitted,1,0
bright,1,0
philosopher,0,1
accident,0,1
pitch,0,1
superior,1,0
register,0,1
daniel,0,0
random,1,0
passes,0,0
thin,1,0
theology,0,1
executed,1,0
absence,0,1
mainstream,0,1
blues,0,0
drama,0,1
singing,1,0
identical,1,0
participate,0,0
newspapers,0,0
establishing,0,0
optical,0,0
wage,0,1
slide,0,1
cleveland,0,0
lifetime,0,1
fighter,0,1
farms,0,0
briefly,0,0
covering,0,1
turns,0,0
vessels,0,0
interface,0,1
whatever,0,0
cotton,0,1
tribe,0,1
explanation,0,1
colorado,0,0
recovery,0,1
span,0,1
complicated,1,0
bureau,0,1
bases,0,0
camps,0,0
poems,0,0
injury,0,1
cash,0,1
facing,0,0
unemployment,0,1
interesting,1,0
franklin,0,0
household,0,1
raising,0,0
religions,0,0
corner,0,1
judges,0,0
temporary,1,0
naturally,0,0
separation,0,1
danger,0,1
cathedral,0,1
stem,0,1
franchise,0,1
seattle,0,0
naima,0,0
printing,0,0
ce,0,0
participation,0,1
recognize,0,0
rabbit,0,1
asking,0,0
comics,0,0
dirty,1,0
mounted,0,0
tested,1,0
rescue,0,1
fan,0,1
generations,0,0
parent,0,1
rival,0,1
winner,0,1
disorder,0,1
sharp,1,0
farming,0,0
print,0,1
nomi,0,0
aspect,0,1
judaism,0,0
debut,0,1
counties,0,0
actors,0,0
eric,0,0
scholar,0,1
basin,0,1
starts,0,0
manufacturers,0,0
injuries,0,0
succession,0,1
essay,0,1
indicates,0,0
followers,0,0
southwest,0,0
rebellion,0,1
attend,0,0
lebanon,0,0
interaction,0,1
ties,0,0
duties,0,0
quick,1,0
psychological,0,0
stronger,0,0
assistant,0,1
ranks,0,0
relief,0,1
ports,0,0
computing,0,0
drones,0,0
involvement,0,1
concerning,1,0
infinite,1,0
negotiations,0,0
testament,0,1
alaska,0,0
varieties,0,0
export,0,0
struck,0,0
goodness,0,0
jurisdiction,0,1
norwegian,1,0
jr,0,0
evening,0,1
fat,1,0
settlers,0,0
framework,0,1
restored,1,0
settlements,0,0
traveled,0,0
stayed,0,0
challenges,0,0
arranged,0,0
highway,0,1
inc,0,0
publishing,0,0
drivers,0,0
dramatic,1,0
inflation,0,1
interpreted,0,0
ongoing,1,0
judicial,0,0
railroad,0,1
advertising,0,0
permitted,1,0
ebola,0,0
depicted,1,0
hindu,0,0
swiss,0,0
indo,0,0
crowd,0,1
philippines,0,0
targets,0,0
advice,0,1
allen,0,0
marks,0,0
trend,0,1
accurate,1,0
bits,0,0
alive,1,0
acids,0,0
sierra,0,0
czech,0,0
onlyinclude,0,0
mississippi,0,0
mixture,0,1
worried,1,0
simon,0,0
functional,1,0
sat,0,0
territorial,1,0
statistical,1,0
papal,0,0
ibn,0,0
restricted,1,0
procedure,0,1
files,0,0
button,0,1
efficiency,0,1
vegetables,0,0
portugal,0,0
coverage,0,1
continent,0,1
shorter,0,0
siege,0,1
airlines,0,0
cardinal,0,1
diversity,0,1
maria,0,0
baltimore,0,0
tunnel,0,1
nomination,0,1
courses,0,0
complexity,0,1
approaches,0,0
scored,0,0
attorney,0,1
ben,0,0
operational,0,0
ranges,0,0
geography,0,1
progressive,1,0
observations,0,0
readers,0,0
holes,0,0
uranium,0,1
oriented,0,0
terminal,0,1
pen,0,1
commissioned,1,0
boundaries,0,0
stability,0,1
surrounded,0,0
compete,0,0
armies,0,0
charter,0,1
estimate,0,1
residence,0,1
concrete,1,0
babies,0,0
stones,0,0
gregory,0,0
dioxide,0,1
worship,0,1
statue,0,1
alleged,0,0
gravity,0,1
miss,0,0
adaptation,0,1
arabia,0,0
tied,0,0
voltage,0,1
bottle,0,1
illness,0,1
unity,0,1
enjoyed,0,0
expand,0,0
likes,0,0
naming,0,0
telling,0,0
lunar,0,0
vi,0,0
recovered,1,0
binding,1,0
wire,0,1
besides,0,0
pool,0,1
defensive,1,0
guest,0,1
merely,0,0
disk,0,1
cattle,0,0
aware,0,0
nato,0,0
lesser,0,0
smoke,0,1
session,0,1
potentially,0,0
competitive,1,0
wash,0,0
reviews,0,0
finance,0,1
hoped,0,0
realized,0,0
mirror,0,1
tribal,1,0
partnership,0,1
registered,1,0
steam,0,1
praised,1,0
hunt,0,1
suitable,1,0
matches,0,0
sending,0,0
jury,0,1
creative,1,0
strict,1,0
graphics,0,0
cats,0,0
strings,0,0
equipped,1,0
worn,1,0
fluid,1,0
discrimination,0,1
shore,0,1
angry,1,0
customs,0,0
arizona,0,0
artistic,1,0
bishops,0,0
guys,0,0
legislature,0,1
liberty,0,1
operator,0,1
recorder,0,1
partners,0,0
indians,0,0
patient,0,0
conflicts,0,0
mammals,0,0
requiring,0,0
romania,0,0
oral,1,0
replacement,0,1
miami,0,0
houston,0,0
studios,0,0
solo,0,0
rings,0,0
beer,0,1
disaster,0,1
taylor,0,0
participated,0,0
neutral,1,0
don,0,0
drum,0,1
pairs,0,0
indonesia,0,0
cuisine,0,1
notation,0,1
patent,0,1
chris,0,0
stream,0,1
varying,1,0
opportunities,0,0
oops,0,0
evolutionary,1,0
contest,0,1
wider,0,0
keys,0,0
valuable,1,0
carter,0,0
compound,0,1
consequences,0,0
des,0,0
option,0,1
synthesis,0,1
snake,0,1
maryland,0,0
mention,0,0
emissions,0,0
recalled,1,0
burned,1,0
producers,0,0
sleeping,0,0
biology,0,1
wealthy,1,0
champion,0,1
initiative,0,1
iranian,0,0
colour,0,1
triangle,0,1
hungry,1,0
cambridge,0,0
thereby,0,0
grass,0,1
controls,0,0
thailand,0,0
weekly,1,0
dialect,0,1
ear,0,1
specialized,1,0
gap,0,1
polar,1,0
electronics,0,0
etymology,0,1
corporate,1,0
narrative,0,1
shares,0,0
tourists,0,0
cd,0,1
variant,0,1
happening,0,0
suicide,0,1
wooden,1,0
belong,0,0
coup,0,1
regardless,0,0
quantities,0,0
permission,0,1
stalin,0,0
holiday,0,1
sam,0,0
profit,0,1
fingers,0,0
sacred,1,0
roger,0,0
gate,0,1
chart,0,1
execution,0,1
grammar,0,1
belt,0,1
cult,0,1
connect,0,0
kitchen,0,1
involve,0,0
pan,0,1
citizen,0,1
critic,0,1
wonder,0,1
jefferson,0,0
destroy,0,0
import,0,0
dual,0,0
clay,0,1
heaven,0,1
fossil,0,1
proportion,0,1
anne,0,0
